id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2514696894,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-88m2-aluguel-RS3500-id-2514696894/,"Apartamento com 2 Quartos para Aluguel, 88m²","Rua Urussuí - Itaim Bibi, São Paulo - SP",88,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Elevador
Condomínio fechado
Salão de festas",R$ 3.500 /mês,R$ 952,São Paulo,2021-05-11 18:03
2507301278,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-35m2-aluguel-RS1500-id-2507301278/,"Apartamento com Quarto para Aluguel, 35m²","Rua Joaquim Floriano, 209 - Itaim Bibi, São Paulo - SP",35,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Ar-condicionado
Elevador
Segurança 24h
Perto de vias de acesso",R$ 1.500 /mês,R$ 1.000,São Paulo,2021-05-11 18:03
2497332705,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cerqueira-cesar-centro-sao-paulo-74m2-aluguel-RS3790-id-2497332705/,"Apartamento com 2 Quartos para Aluguel, 74m²","Rua Doutor Melo Alves, 550 - Cerqueira César, São Paulo - SP",74,2 Quartos,2 Banheiros,-- Vaga,"Cozinha
Área de serviço
Interfone",R$ 3.790 /mês,R$ 338,São Paulo,2021-05-11 18:03
2515192092,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-50m2-aluguel-RS2800-id-2515192092/,"Apartamento com Quarto para Aluguel, 50m²","Rua Castilho - Brooklin, São Paulo - SP",50,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Piscina
Varanda
Churrasqueira
Ar-condicionado",R$ 2.800 /mês,R$ 536,São Paulo,2021-05-11 18:03
2509834894,https://www.vivareal.com.br/imovel/apartamento-1-quartos-morumbi-zona-sul-sao-paulo-com-garagem-59m2-aluguel-RS3200-id-2509834894/,"Apartamento com Quarto para Aluguel, 59m²","Rua Padre Lebret, 725 - Morumbi, São Paulo - SP",59,1 Quarto,2 Banheiros,1 Vaga,"Piscina
Academia
Churrasqueira
Ar-condicionado
Elevador",R$ 3.200 /mês,R$ 615,São Paulo,2021-05-11 18:03
2518957617,https://www.vivareal.com.br/imovel/apartamento-3-quartos-pompeia-zona-oeste-sao-paulo-com-garagem-130m2-venda-RS1499900-id-2518957617/,Apartamento com 3 Quartos para Venda/Aluguel 130m²,"Rua Coronel Melo de Oliveira, 95 - Pompeia, São Paulo - SP",130,3 Quartos,3 Banheiros,3 Vagas,"Área de serviço
Playground
Salão de festas
Quadra poliesportiva","R$ 4.990 /mês
R$ 1.499.900",R$ 2.091,São Paulo,2021-05-11 18:03
2517529602,https://www.vivareal.com.br/imovel/apartamento-1-quartos-republica-centro-sao-paulo-28m2-aluguel-RS1350-id-2517529602/,"Apartamento com Quarto para Aluguel, 28m²","Avenida Ipiranga, 200 - República, São Paulo - SP",28,1 Quarto,1 Banheiro,-- Vaga,Elevador,R$ 1.350 /mês,R$ 290,São Paulo,2021-05-11 18:03
2516625435,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-169m2-venda-RS2100000-id-2516625435/,Apartamento com 4 Quartos para Venda/Aluguel 169m²,"Brooklin, São Paulo - SP",169,4 Quartos,3 Banheiros,3 Vagas,"Academia
Churrasqueira
Ar-condicionado
Elevador
Segurança 24h","R$ 7.000 /mês
R$ 2.100.000",R$ 2.500,São Paulo,2021-05-11 18:03
2509010433,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-45m2-aluguel-RS2750-id-2509010433/,"Apartamento com 2 Quartos para Aluguel, 45m²","Rua Capote Valente, 1475 - Pinheiros, São Paulo - SP",45,2 Quartos,1 Banheiro,2 Vagas,"Piscina
Academia
Elevador
Condomínio fechado
Aceita animais",R$ 2.750 /mês,R$ 950,São Paulo,2021-05-11 18:03
2517047480,https://www.vivareal.com.br/imovel/apartamento-1-quartos-perdizes-zona-oeste-sao-paulo-com-garagem-67m2-aluguel-RS3000-id-2517047480/,"Apartamento com Quarto para Aluguel, 67m²","Rua Apinajés, 939 - Perdizes, São Paulo - SP",67,1 Quarto,2 Banheiros,2 Vagas,"Piscina
Varanda
Academia
Churrasqueira
Elevador",R$ 3.000 /mês,R$ 735,São Paulo,2021-05-11 18:03
2501403909,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-centro-sao-paulo-com-garagem-48m2-aluguel-RS2480-id-2501403909/,"Apartamento com Quarto para Aluguel, 48m²","Rua Álvaro de Carvalho - Centro, São Paulo - SP",48,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Piscina
Academia
Ar-condicionado
Elevador",R$ 2.480 /mês,R$ 676,São Paulo,2021-05-11 18:03
2516127796,https://www.vivareal.com.br/imovel/apartamento-2-quartos-chacara-santo-antonio-zona-sul-sao-paulo-com-garagem-81m2-aluguel-RS5200-id-2516127796/,"Apartamento com 2 Quartos para Aluguel, 81m²","Chácara Santo Antônio, São Paulo - SP",81,2 Quartos,2 Banheiros,2 Vagas,"Mobiliado
Piscina
Varanda
Churrasqueira
Área de serviço",R$ 5.200 /mês,R$ 663,São Paulo,2021-05-11 18:03
2518777283,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lapa-zona-oeste-sao-paulo-com-garagem-51m2-aluguel-RS2000-id-2518777283/,"Apartamento com 2 Quartos para Aluguel, 51m²","Rua Corcovado, 119 - Lapa, São Paulo - SP",51,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Ar-condicionado
Elevador
Salão de festas
Cozinha americana",R$ 2.000 /mês,R$ 466,São Paulo,2021-05-11 18:03
2515041868,https://www.vivareal.com.br/imovel/apartamento-1-quartos-mirandopolis-zona-sul-sao-paulo-com-garagem-45m2-aluguel-RS2000-id-2515041868/,"Apartamento com Quarto para Aluguel, 45m²","Avenida Senador Casimiro da Rocha, 664 - Mirandópolis, São Paulo - SP",45,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Piscina
Academia
Churrasqueira
Elevador",R$ 2.000 /mês,R$ 476,São Paulo,2021-05-11 18:03
2499082579,https://www.vivareal.com.br/imovel/apartamento-4-quartos-paraiso-do-morumbi-zona-sul-sao-paulo-com-garagem-208m2-aluguel-RS2900-id-2499082579/,"Apartamento com 4 Quartos para Aluguel, 208m²","Rua Manoel Antônio Pinto, 1200 - Paraíso do Morumbi, São Paulo - SP",208,4 Quartos,5 Banheiros,2 Vagas,"Varanda
Academia
Churrasqueira
Elevador
Condomínio fechado",R$ 2.900 /mês,R$ 1.860,São Paulo,2021-05-11 18:03
2514936307,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mascote-zona-sul-sao-paulo-com-garagem-60m2-aluguel-RS1997-id-2514936307/,"Apartamento com 2 Quartos para Aluguel, 60m²","Vila Mascote, São Paulo - SP",60,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Área de serviço
Playground
Salão de festas",R$ 1.997 /mês,R$ 670,São Paulo,2021-05-11 18:03
2514160423,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santo-amaro-zona-sul-sao-paulo-81m2-venda-RS340000-id-2514160423/,Apartamento com 2 Quartos para Venda/Aluguel 81m²,"Avenida Washington Luís, 4659 - Santo Amaro, São Paulo - SP",81,2 Quartos,1 Banheiro,-- Vaga,"Armário na cozinha
Interfone","R$ 1.550 /mês
R$ 340.000",R$ 255,São Paulo,2021-05-11 18:03
2503262164,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-200m2-venda-RS2800000-id-2503262164/,Apartamento com 3 Quartos para Venda/Aluguel 200m²,"Avenida Horácio Lafer - Itaim Bibi, São Paulo - SP",200,3 Quartos,5 Banheiros,2 Vagas,Piscina,"R$ 11.000 /mês
R$ 2.800.000",R$ 4.000,São Paulo,2021-05-11 18:03
2519516450,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-50m2-aluguel-RS3300-id-2519516450/,"Apartamento com Quarto para Aluguel, 50m²","Rua Constantino de Sousa, 1144 - Campo Belo, São Paulo - SP",50,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Piscina
Academia
Churrasqueira
Ar-condicionado",R$ 3.300 /mês,R$ 600,São Paulo,2021-05-11 18:03
2510834480,https://www.vivareal.com.br/imovel/apartamento-1-quartos-moema-zona-sul-sao-paulo-com-garagem-45m2-aluguel-RS2404-id-2510834480/,"Apartamento com Quarto para Aluguel, 45m²","Avenida Rouxinol - Moema, São Paulo - SP",45,1 Quarto,1 Banheiro,1 Vaga,"Varanda
Cozinha
Espaço gourmet
Área de serviço
Interfone",R$ 2.404 /mês,R$ 776,São Paulo,2021-05-11 18:03
2518970794,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-35m2-aluguel-RS2600-id-2518970794/,"Apartamento com Quarto para Aluguel, 35m²","Avenida Doutor Cardoso de Melo, 741 - Vila Olímpia, São Paulo - SP",35,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Piscina
Varanda
Academia
Ar-condicionado",R$ 2.600 /mês,R$ 920,São Paulo,2021-05-11 18:03
