,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua,zona
247,1100,2.0,"Rua Joaquim Oliveira Freitas, 508 - Vila Mangalot, São Paulo - SP",1.0,0.0,50, Vila Mangalot,"Rua Joaquim Oliveira Freitas, 508",Norte
256,1600,3.0,"Vila Palmeiras, São Paulo - SP",1.0,1.0,90, SP,"Vila Palmeiras, São Paulo",Norte
259,1200,1.0,"Chora Menino, São Paulo - SP",1.0,0.0,60, SP,"Chora Menino, São Paulo",Norte
292,1300,2.0,"Vila Iório, São Paulo - SP",1.0,1.0,70, SP,"Vila Iório, São Paulo",Norte
296,2500,3.0,"Rua Ouvidor Peleja, 792 - Vila Mariana, São Paulo - SP",2.0,2.0,200, Vila Mariana,"Rua Ouvidor Peleja, 792",Norte
305,2300,1.0,"Rua Professor Tranquilli - Vila Mariana, São Paulo - SP",2.0,1.0,50, Vila Mariana,Rua Professor Tranquilli,Norte
308,2000,3.0,"Rua Saguairu - Casa Verde, São Paulo - SP",1.0,1.0,120, Casa Verde,Rua Saguairu,Norte
313,1500,2.0,"Vila Ede, São Paulo - SP",1.0,2.0,80, SP,"Vila Ede, São Paulo",Norte
318,9000,2.0,"Rua São Paulino, 9 - Vila Mariana, São Paulo - SP",5.0,4.0,247, Vila Mariana,"Rua São Paulino, 9",Norte
323,900,1.0,"Rua Cardeal Enrico Dante, 66 - Vila Nova Mazzei, São Paulo - SP",1.0,0.0,45, Vila Nova Mazzei,"Rua Cardeal Enrico Dante, 66",Norte
326,900,1.0,"Vila Maria, São Paulo - SP",1.0,0.0,35, SP,"Vila Maria, São Paulo",Norte
330,1000,1.0,"Rua Jaupaci - Vila Paulistana, São Paulo - SP",1.0,1.0,50, Vila Paulistana,Rua Jaupaci,Norte
334,1700,3.0,"Rua Domingos da Costa Mata, 275 - Santana, São Paulo - SP",2.0,1.0,62, Santana,"Rua Domingos da Costa Mata, 275",Norte
335,3100,3.0,"Rua Giovani Recordati, 153 - Parque São Domingos, São Paulo - SP",2.0,2.0,74, Parque São Domingos,"Rua Giovani Recordati, 153",Norte
352,2000,3.0,"Rua Eli, 674 - Vila Maria Baixa, São Paulo - SP",2.0,1.0,73, Vila Maria Baixa,"Rua Eli, 674",Norte
375,2800,2.0,"Rua Tutóia, 839 - Vila Mariana, São Paulo - SP",2.0,1.0,78, Vila Mariana,"Rua Tutóia, 839",Norte
418,25000,0.0,"Rua Santa Cruz, 1168 - Vila Mariana, São Paulo - SP",10.0,20.0,500, Vila Mariana,"Rua Santa Cruz, 1168",Norte
437,3000,1.0,"Rua Tutóia, 235 - Vila Mariana, São Paulo - SP",1.0,0.0,50, Vila Mariana,"Rua Tutóia, 235",Norte
439,2000,1.0,"Rua Tutóia, 235 - Vila Mariana, São Paulo - SP",1.0,0.0,50, Vila Mariana,"Rua Tutóia, 235",Norte
441,6000,3.0,"Rua Sousa Lopes, 65 - Lauzane Paulista, São Paulo - SP",5.0,6.0,289, Lauzane Paulista,"Rua Sousa Lopes, 65",Norte
450,7000,3.0,"Jardim Vila Mariana, São Paulo - SP",5.0,4.0,264, SP,"Jardim Vila Mariana, São Paulo",Norte
500,2900,1.0,"Rua Paula Ney, 100 - Vila Mariana, São Paulo - SP",1.0,1.0,38, Vila Mariana,"Rua Paula Ney, 100",Norte
514,2600,0.0,"Rua Paula Ney, 100 - Vila Mariana, São Paulo - SP",1.0,1.0,42, Vila Mariana,"Rua Paula Ney, 100",Norte
521,1670,0.0,"Santana, São Paulo - SP",1.0,1.0,35, SP,"Santana, São Paulo",Norte
547,4500,4.0,"Rua Marambaia, 568 - Casa Verde, São Paulo - SP",4.0,2.0,200, Casa Verde,"Rua Marambaia, 568",Norte
549,11000,4.0,"City América, São Paulo - SP",4.0,6.0,500, SP,"City América, São Paulo",Norte
558,4500,3.0,"Rua Professor Antônio Gama de Cerqueira, 393 - Vila Americana, São Paulo - SP",5.0,4.0,280, Vila Americana,"Rua Professor Antônio Gama de Cerqueira, 393",Norte
564,2000,3.0,"Rua Carmelo Adam, , 166 - Vila Libanesa, São Paulo - SP",2.0,2.0,100, Vila Libanesa,"Rua Carmelo Adam, , 166",Norte
569,500,1.0,"Rua José Brito Mendes - Sítio Botuquara, São Paulo - SP",1.0,0.0,50, Sítio Botuquara,Rua José Brito Mendes,Norte
580,7000,0.0,"Jardim Peri Peri, São Paulo - SP",0.0,0.0,300, SP,"Jardim Peri Peri, São Paulo",Norte
582,11700,0.0,"Rua Ângelo Capricho - Horto Florestal, São Paulo - SP",4.0,0.0,1000, Horto Florestal,Rua Ângelo Capricho,Norte
592,1200,2.0,"Rua Serra de São Domingos - Vila Carmosina, São Paulo - SP",1.0,0.0,60, Vila Carmosina,Rua Serra de São Domingos,Norte
636,12000,4.0,"Rua São Benedito - Vila Zat, São Paulo - SP",5.0,3.0,360, Vila Zat,Rua São Benedito,Norte
651,7000,3.0,"Rua Doutor Tirso Martins, 200 - Vila Mariana, São Paulo - SP",1.0,3.0,218, Vila Mariana,"Rua Doutor Tirso Martins, 200",Norte
652,65000,5.0,"Rua Hermano Ribeiro da Silva - Vila Mariana, São Paulo - SP",6.0,7.0,900, Vila Mariana,Rua Hermano Ribeiro da Silva,Norte
684,1600,0.0,"Rua Estela - Vila Mariana, São Paulo - SP",1.0,1.0,38, Vila Mariana,Rua Estela,Norte
691,1500,1.0,"Vila Mariana, São Paulo - SP",1.0,1.0,35, SP,"Vila Mariana, São Paulo",Norte
697,3250,2.0,"Rua Engenheiro Armando de Virgiliis, 220 - Vila Mariana, São Paulo - SP",1.0,1.0,60, Vila Mariana,"Rua Engenheiro Armando de Virgiliis, 220",Norte
743,1650,2.0,"Vila Prado, São Paulo - SP",2.0,0.0,80, SP,"Vila Prado, São Paulo",Norte
747,2900,3.0,"Rua Rubiácea, 236 - Água Fria, São Paulo - SP",3.0,2.0,300, Água Fria,"Rua Rubiácea, 236",Norte
762,1755,1.0,"Rua Doutor Nicolau de Sousa Queirós, 491 - Vila Mariana, São Paulo - SP",1.0,1.0,34, Vila Mariana,"Rua Doutor Nicolau de Sousa Queirós, 491",Norte
778,12000,4.0,"Rua João Álvares Correia, 55 - Jardim Vila Mariana, São Paulo - SP",6.0,4.0,297, Jardim Vila Mariana,"Rua João Álvares Correia, 55",Norte
783,10000,4.0,"Rua Doutor Barros Cruz - Vila Mariana, São Paulo - SP",4.0,4.0,295, Vila Mariana,Rua Doutor Barros Cruz,Norte
796,7000,3.0,"Rua Pedro Pomponazzi - Jardim Vila Mariana, São Paulo - SP",4.0,3.0,193, Jardim Vila Mariana,Rua Pedro Pomponazzi,Norte
815,1200,1.0,"Rua Carolina Soares, 269 - Vila Diva (Zona Norte), São Paulo - SP",1.0,0.0,28, Vila Diva (Zona Norte),"Rua Carolina Soares, 269",Norte
829,2200,3.0,"Rua Domingos de Morais, 1716 - Vila Mariana, São Paulo - SP",2.0,1.0,80, Vila Mariana,"Rua Domingos de Morais, 1716",Norte
840,2200,3.0,"Rua Santa Cruz, 2089 - Vila Mariana, São Paulo - SP",3.0,0.0,90, Vila Mariana,"Rua Santa Cruz, 2089",Norte
849,1350,2.0,"Rua Alfredo Pardini - Jardim Yara, São Paulo - SP",2.0,1.0,70, Jardim Yara,Rua Alfredo Pardini,Norte
894,800,1.0,"Rua Carlos Escobar, 282 - Santana, São Paulo - SP",1.0,0.0,10, Santana,"Rua Carlos Escobar, 282",Norte
915,1950,1.0,"Rua Pelotas, 82 - Vila Mariana, São Paulo - SP",1.0,0.0,25, Vila Mariana,"Rua Pelotas, 82",Norte
933,2200,2.0,"Parque São Domingos, São Paulo - SP",2.0,2.0,80, SP,"Parque São Domingos, São Paulo",Norte
936,2700,3.0,"Rua Piatá, , 627 - Vila Isolina Mazzei, São Paulo - SP",2.0,2.0,120, Vila Isolina Mazzei,"Rua Piatá, , 627",Norte
940,2300,3.0,"Vila Nova Mazzei, São Paulo - SP",3.0,2.0,120, SP,"Vila Nova Mazzei, São Paulo",Norte
941,9000,7.0,"Rua Afonso Celso - Vila Mariana, São Paulo - SP",5.0,6.0,450, Vila Mariana,Rua Afonso Celso,Norte
948,25000,7.0,"Rua Gaurama - Jardim Franca, São Paulo - SP",7.0,8.0,579, Jardim Franca,Rua Gaurama,Norte
949,4000,3.0,"Travessa Humberto I, 0 - Vila Mariana, São Paulo - SP",3.0,1.0,180, Vila Mariana,"Travessa Humberto I, 0",Norte
951,13000,11.0,"Rua Pedro Morganti - Vila Mariana, São Paulo - SP",4.0,5.0,369, Vila Mariana,Rua Pedro Morganti,Norte
962,3300,2.0,"Rua Sargento José Spessoto, 157 - Vila Mariana, São Paulo - SP",3.0,1.0,97, Vila Mariana,"Rua Sargento José Spessoto, 157",Norte
983,1200,1.0,"Rua José de Freitas, 1 - Imirim, São Paulo - SP",1.0,1.0,70, Imirim,"Rua José de Freitas, 1",Norte
1000,2400,2.0,"Rua Aburá - Sítio do Mandaqui, São Paulo - SP",3.0,2.0,80, Sítio do Mandaqui,Rua Aburá,Norte
1010,1600,2.0,"Rua Francisco Bellazzi - Jardim Jaraguá, São Paulo - SP",2.0,1.0,79, Jardim Jaraguá,Rua Francisco Bellazzi,Norte
1016,500,1.0,"Rua José Brito Mendes - Sitio Botuquara, São Paulo - SP",1.0,0.0,50, Sitio Botuquara,Rua José Brito Mendes,Norte
1017,7000,3.0,"Rua Irmã Maria Lourença - Jardim Shangrila, São Paulo - SP",0.0,30.0,0, Jardim Shangrila,Rua Irmã Maria Lourença,Norte
1031,11000,2.0,"Rua Joaquim Távora, 1210 - Vila Mariana, São Paulo - SP",4.0,3.0,172, Vila Mariana,"Rua Joaquim Távora, 1210",Norte
1034,10000,2.0,"Rua Caravelas, 138 - Vila Mariana, São Paulo - SP",4.0,2.0,145, Vila Mariana,"Rua Caravelas, 138",Norte
1076,1450,1.0,"Rua Tangará, 288 - Vila Mariana, São Paulo - SP",1.0,0.0,20, Vila Mariana,"Rua Tangará, 288",Norte
1079,3500,4.0,"Parque Domingos Luís, 408 - Jardim São Paulo, São Paulo - SP",5.0,2.0,275, Jardim São Paulo,"Parque Domingos Luís, 408",Norte
1093,4000,2.0,"Parque São Domingos, São Paulo - SP",1.0,2.0,130, SP,"Parque São Domingos, São Paulo",Norte
1098,9000,4.0,"Rua Áurea, 269 - Vila Mariana, São Paulo - SP",2.0,1.0,108, Vila Mariana,"Rua Áurea, 269",Norte
