,id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at,neighborhood
6449,2518623583,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-128m2-aluguel-RS8490-id-2518623583/,"Apartamento com 3 Quartos para Aluguel, 128m²","Rua Afonso Braz, 537 - Vila Nova Conceição, São Paulo - SP",128,3,2,2,"Playground
Salão de festas
Quadra poliesportiva
Salão de jogos",8490,1376,São Paulo,2021-05-11 18:39, Vila Nova Conceição
6450,2514643743,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-28m2-venda-RS300000-id-2514643743/,Apartamento com Quarto à Venda/Aluguel 28m²,"Rua Capote Valente, 500 - Pinheiros, São Paulo - SP",28,1,1,1,"Piscina
Mobiliado
Academia
Elevador
Condomínio fechado",3000,970,São Paulo,2021-05-11 18:39, Pinheiros
6451,2513370005,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-55m2-aluguel-RS2200-id-2513370005/,"Apartamento com Quarto para Aluguel, 55m²","Rua Constantino de Sousa, 1057 - Campo Belo, São Paulo - SP",55,1,1,1,"Mobiliado
Elevador
Condomínio fechado
Aceita animais
Salão de festas",2200,600,São Paulo,2021-05-11 18:39, Campo Belo
6452,2509404486,https://www.vivareal.com.br/imovel/apartamento-2-quartos-granja-julieta-zona-sul-sao-paulo-com-garagem-81m2-venda-RS900000-id-2509404486/,Apartamento com 2 Quartos para Venda/Aluguel 81m²,"Avenida Professor Alceu Maynard Araújo - Granja Julieta, São Paulo - SP",81,2,2,2,"Piscina
Varanda
Churrasqueira
Área de serviço
Quadra poliesportiva",5000,700,São Paulo,2021-05-11 18:39, Granja Julieta
6453,2516053310,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-140m2-aluguel-RS6490-id-2516053310/,"Apartamento com 3 Quartos para Aluguel, 140m²","Rua Sarandi, 61 - Cerqueira César, São Paulo - SP",140,3,2,2,Salão de festas,6490,2216,São Paulo,2021-05-11 18:39, Cerqueira César
6454,2513135845,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-78m2-venda-RS937000-id-2513135845/,Apartamento com 2 Quartos para Venda/Aluguel 78m²,"Campo Belo, São Paulo - SP",78,2,2,2,nan,3297,992,São Paulo,2021-05-11 18:39, SP
6455,2512545111,https://www.vivareal.com.br/imovel/apartamento-1-quartos-planalto-paulista-zona-sul-sao-paulo-30m2-aluguel-RS1100-id-2512545111/,"Apartamento com Quarto para Aluguel, 30m²","Avenida Ireré - Planalto Paulista, São Paulo - SP",30,1,1,--,"Quintal
Área de serviço",1100,160,São Paulo,2021-05-11 18:39, Planalto Paulista
6456,2503953726,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-80m2-aluguel-RS3000-id-2503953726/,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Doutor Fadlo Haidar, 66 - Vila Olímpia, São Paulo - SP",80,2,3,1,"Piscina
Academia
Churrasqueira
Elevador
Cozinha",3000,965,São Paulo,2021-05-11 18:39, Vila Olímpia
6457,2515278532,https://www.vivareal.com.br/imovel/apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-130m2-aluguel-RS5185-id-2515278532/,"Apartamento com 3 Quartos para Aluguel, 130m²","Rua Lisboa, 133 - Pinheiros, São Paulo - SP",130,3,3,2,"Mobiliado
Área de serviço
Salão de festas",5185,1560,São Paulo,2021-05-11 18:39, Pinheiros
6458,2519474859,https://www.vivareal.com.br/imovel/apartamento-1-quartos-moema-zona-sul-sao-paulo-com-garagem-67m2-aluguel-RS3000-id-2519474859/,"Apartamento com Quarto para Aluguel, 67m²","Moema, São Paulo - SP",67,1,1,1,"Piscina
Salão de festas
Sauna",3000,,São Paulo,2021-05-11 18:39, SP
6459,2519316073,https://www.vivareal.com.br/imovel/apartamento-2-quartos-chacara-santo-antonio-zona-sul-sao-paulo-com-garagem-70m2-aluguel-RS5490-id-2519316073/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Henri Dunant, 846 - Chácara Santo Antônio, São Paulo - SP",70,2,2,1,"Ar-condicionado
Área de serviço
Salão de festas
Interfone
Salão de jogos",5490,1150,São Paulo,2021-05-11 18:39, Chácara Santo Antônio
6460,2518156711,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-leopoldina-zona-oeste-sao-paulo-com-garagem-125m2-aluguel-RS6000-id-2518156711/,"Apartamento com 3 Quartos para Aluguel, 125m²","Vila Leopoldina, São Paulo - SP",125,3,3,2,"Academia
Playground
Salão de festas
Quadra poliesportiva
Interfone",6000,998,São Paulo,2021-05-11 18:40, SP
6461,2510476774,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campos-eliseos-centro-sao-paulo-com-garagem-34m2-aluguel-RS1276-id-2510476774/,"Apartamento com Quarto para Aluguel, 34m²","Alameda Eduardo Prado - Campos Eliseos, São Paulo - SP",34,1,1,1,"Mobiliado
Elevador
Cozinha
Área de serviço
Interfone",1276,402,São Paulo,2021-05-11 18:40, Campos Eliseos
6462,2516027807,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-dionisia-zona-norte-sao-paulo-52m2-aluguel-RS1200-id-2516027807/,"Apartamento com 2 Quartos para Aluguel, 52m²","Rua Nicolau Tolentino de Almeida - Vila Dionísia, São Paulo - SP",52,2,1,--,nan,1200,363,São Paulo,2021-05-11 18:40, Vila Dionísia
6463,2515160211,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-101m2-aluguel-RS13200-id-2515160211/,"Apartamento com 2 Quartos para Aluguel, 101m²","Rua Leopoldo Couto Magalhães Júnior - Itaim Bibi, São Paulo - SP",101,2,2,2,"Mobiliado
Piscina
Varanda
Varanda gourmet
Academia",13200,2150,São Paulo,2021-05-11 18:40, Itaim Bibi
6464,2516181974,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pirituba-zona-norte-sao-paulo-com-garagem-50m2-venda-RS275000-id-2516181974/,Apartamento com 2 Quartos para Venda/Aluguel 50m²,"Pirituba, São Paulo - SP",50,2,1,1,nan,1750,268,São Paulo,2021-05-11 18:40, SP
6465,2519100906,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-sao-domingos-zona-oeste-sao-paulo-com-garagem-74m2-aluguel-RS1800-id-2519100906/,"Apartamento com 3 Quartos para Aluguel, 74m²","Rua José Ataliba Ortiz - Parque São Domingos, São Paulo - SP",74,3,2,2,"Piscina
Varanda
Churrasqueira
Elevador
Cozinha",1800,740,São Paulo,2021-05-11 18:40, Parque São Domingos
6466,2518463140,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-jardim-zona-sul-sao-paulo-com-garagem-300m2-venda-RS10600000-id-2518463140/,Apartamento com 3 Quartos à Venda/Aluguel 300m²,"Rua Armando Petrella, 431 - Cidade Jardim, São Paulo - SP",300,3,6,4,"Piscina
Academia
Elevador
Condomínio fechado
Ar-condicionado",37000,4788,São Paulo,2021-05-11 18:40, Cidade Jardim
6467,2518324099,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-65m2-aluguel-RS2600-id-2518324099/,"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Manoel Dutra - Bela Vista, São Paulo - SP",65,2,1,1,"Piscina
Academia
Churrasqueira
Elevador
Condomínio fechado",2600,698,São Paulo,2021-05-11 18:40, Bela Vista
6468,2518925134,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-210m2-aluguel-RS11990-id-2518925134/,"Apartamento com 3 Quartos para Aluguel, 210m²","Rua Pascal, 211 - Campo Belo, São Paulo - SP",210,3,2,3,"Mobiliado
Ar-condicionado
Área de serviço
Closet
Lareira",11990,3200,São Paulo,2021-05-11 18:40, Campo Belo
6469,2518956947,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-89m2-aluguel-RS4985-id-2518956947/,"Apartamento com 3 Quartos para Aluguel, 89m²","Rua José Antônio Coelho, 764 - Vila Mariana, São Paulo - SP",89,3,1,1,"Mobiliado
Área de serviço
Salão de festas
Escritório",4985,1199,São Paulo,2021-05-11 18:40, Vila Mariana
6470,2513834077,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-72m2-aluguel-RS2200-id-2513834077/,"Apartamento com 3 Quartos para Aluguel, 72m²","Rua Domingos Paiva - Brás, São Paulo - SP",72,3,2,1,"Piscina
Varanda
Academia
Churrasqueira
Elevador",2200,639,São Paulo,2021-05-11 18:40, Brás
